1.5149,-0.099717,-3.5116,-0.26476,-0.8202,-0.63446,-0.64928,-2.0013,-0.0418,-0.89892,-3.1962,-0.74549,0.15661,1.2243,0.93048,-0.85734
-2.8577,0.22438,-0.76123,-0.55248,-0.33096,-1.2461,-0.62626,-0.69598,-0.80462,-1.0609,-1.5779,-1.7796,1.2162,0.15213,1.5171,-0.58647
-0.019748,0.35379,-2.1773,0.9446,-1.9366,-0.13391,-0.75646,-0.60338,-1.9384,-1.9322,-3.515,-0.32611,0.40713,-1.0743,0.8606,-1.021
-0.20767,-1.7134,0.32391,-0.34333,-1.6666,-0.78556,-0.073223,-1.1228,-1.105,-2.6472,-2.066,-0.92012,1.0012,-0.40008,1.0022,-0.48001
-2.1232,-0.70632,-1.2042,-0.93276,-0.6152,-1.7654,0.55794,0.69017,-1.3937,-1.1839,-1.4799,-0.083935,0.044349,-1.1263,0.88173,-1.5413
-2.44,2.8902,-0.014093,0.069034,-0.89328,-0.29457,-0.22965,-2.2045,-0.86571,-2.2489,-1.9928,-2.0872,0.648,-0.52617,1.4962,-0.71889
1.8469,-0.051296,-3.6292,-0.78791,-0.74106,-0.40281,-0.33373,-1.4706,-1.1087,-0.97299,-3.198,-1.3703,1.0897,-0.86095,0.6232,-0.20099
1.0865,-0.77881,0.17866,1.4049,0.3182,-0.60602,0.10356,-0.99668,-0.95543,-1.501,-2.2271,-1.3335,1.3869,-0.2713,0.89422,-1.8866
0.42352,0.21604,-1.8233,2.2009,-1.4447,-2.0351,0.026292,-0.87065,-1.9952,-1.4676,-1.8469,-0.79681,0.10957,-0.37612,0.7919,-0.86639
1.8576,-0.42436,0.81448,0.85778,0.25132,0.29454,-0.65117,-0.53268,-1.2088,-2.3618,-0.70105,-1.5973,0.86773,0.10511,0.92556,-0.72491
1.7659,-0.24438,0.60515,-0.56604,-0.1697,-1.0439,-0.46833,-1.655,-1.9965,-1.3934,-2.346,-1.6607,0.51932,-0.062016,0.37269,-0.79782
-2.8573,0.20761,-0.76307,-0.55456,-0.32937,-1.244,-0.62061,-0.69862,-0.80413,-1.0633,-1.5786,-1.7917,1.2207,0.15047,1.5182,-0.58604
0.37024,-0.33418,-1.7477,2.1754,-1.7433,-1.7638,0.15825,-1.2192,-2.2242,-1.9082,-2.3172,-1.6767,0.80157,0.38352,0.88257,-0.58934
0.94397,-0.25824,-2.1393,1.5163,-1.2583,-1.9579,0.23216,-1.5687,-2.3221,-1.4449,-2.1318,-1.6178,0.79652,0.34249,1.0888,-0.66093
-2.4068,3.3356,-0.56755,-0.34227,-0.54469,-1.3778,-1.2214,-0.88447,-0.25891,-0.93404,-1.5438,-1.8326,0.24856,0.22414,1.5295,-0.94309
0.35353,-1.0065,0.91618,-0.34331,1.3123,-0.53258,0.57007,-1.3645,-1.2637,-1.0109,-1.5226,-0.84218,0.91979,-0.49426,1.3694,0.38307
-0.59674,-1.1675,-0.64309,-0.93317,1.5713,-0.73398,1.011,-1.5336,-1.7592,-0.57995,-1.8768,-1.0519,1.3439,0.1275,0.86598,-0.59437
